id;item_name;default_category_id
1;æbler;1
2;bananer;1
3;pærer;1
4;appelsiner;1
5;vindruer;1
6;kartofler;1
7;gulerødder;1
8;løg;1
9;tomater;1
10;agurker;1
11;peberfrugter;1
12;salat;1
13;champignon;1
14;hvidløg;1
15;avocado;1
16;agurk;1
17;pasta;3
18;ris;3
19;linser;3
20;kikærter;3
21;hakkede tomater;3
22;tomatpure;3
23;olivenolie;3
24;rapsolie;3
25;olie;3
26;eddike;3
27;ketchup;3
28;mayonnaise;3
29;bouillon;3
30;honning;3
31;sukker;3
32;salt;3
33;peber;3
34;havregryn;8
35;cornflakes;8
36;musli;8
37;hamburgerryg;4
38;leverpostej;4
39;rullepølse;4
40;spegepølse;4
41;pepperoni;4
42;ost;4
43;mozzerella;4
44;revet ost;4
45;pizza;5
46;pommes frites;5
47;frysegrønt;5
48;is;5
49;chokoladeis;5
50;suppe;5
51;rugbrød;2
52;boller;2
53;pitabrød;2
54;sandwichbrød;2
55;pølsebrød;2
56;knækbrød;2
57;svinekød;6
58;oksekød;6
59;kylling;6
60;kyllingebryst;6
61;kyllingelår;6
62;bøffer;6
63;koteletter;6
64;mælk;7
65;piskefløde;7
66;fløde;7
67;cremefraiche;7
68;yoghurt;7
69;smør;7
70;æg;7
71;toiletpapir;9
72;køkkenrulle;9
73;affaldsposer;9
74;fryseposer;9
75;bagepapir;9
76;sølvpapir;9
77;opvaskemiddel;9
78;vaskemiddel;9
79;rengørigsmiddel;9
80;opvask;9
81;batterier;9
82;sæbe;9
83;håndsæbe;9
84;shampoo;9
85;intimsæbe;9
86;bleer;10
87;vådservietter;10
88;dutposer;10
89;babyshampoo;10
90;chips;11
91;popcorn;11
92;chokolade;11
93;kage;11
94;kiks;11
95;småkager;11
96;pandekagemix;3
97;wc rens;9
